Date,Open,High,Low,Close,Volume,Adj Close
2015-07-27,237.80,242.90,234.55,241.85,46775600,229.875
2015-07-20,236.25,242.35,231.35,238.45,45471700,226.644
2015-07-13,238.00,238.55,231.815,237.40,38481100,225.646
2015-07-06,228.25,238.50,225.50,235.70,47346200,224.03
2015-06-29,231.05,238.548,229.85,231.10,48633800,219.658
2015-06-22,236.95,242.75,235.85,237.25,49760500,225.503
2015-06-15,232.95,235.90,227.85,233.65,48873200,222.081
2015-06-08,243.45,246.65,233.35,234.30,59063600,222.699
2015-06-01,254.50,258.00,242.022,242.05,77717400,222.884
2015-05-25,253.75,257.95,248.063,255.35,60774500,235.131
2015-05-18,235.75,256.00,224.90,253.75,105442300,233.657
2015-05-11,232.35,237.05,228.80,234.50,58498800,215.931
2015-05-04,230.00,236.85,226.95,233.30,47558600,214.827
2015-04-27,232.05,234.175,227.60,230.00,50232600,211.788
2015-04-20,229.45,235.20,225.60,232.25,48428700,213.86
2015-04-13,228.60,230.75,225.80,226.40,49098100,208.473
2015-04-06,222.20,229.90,221.14,229.30,58037300,211.143
2015-03-30,226.90,226.90,219.507,222.20,38321300,204.605
2015-03-23,229.00,229.00,220.073,224.70,74778000,206.907
2015-03-16,220.10,229.80,220.10,228.25,86937900,210.176
2015-03-09,218.20,223.30,210.334,218.95,65066400,201.613
2015-03-02,224.30,227.95,219.30,219.90,53817100,202.488
2015-02-23,234.00,236.50,222.10,224.40,54894000,206.631
2015-02-16,232.20,234.00,224.25,232.40,50277300,213.998
2015-02-09,230.10,233.95,228.05,232.40,50836500,213.998
2015-02-02,234.00,238.65,228.25,231.40,64828600,213.077
2015-01-26,238.80,241.70,234.35,234.50,58803200,215.931
2015-01-19,227.55,245.90,227.50,239.90,71203400,220.904
2015-01-12,225.00,230.45,221.30,227.80,64262500,209.762
2015-01-05,220.85,227.213,211.006,224.90,61184000,207.092
2014-12-29,224.20,225.15,219.10,221.90,17168800,204.329
2014-12-22,224.25,227.20,221.05,225.00,12445000,207.184
2014-12-15,215.55,227.75,210.00,225.00,89334000,207.184
2014-12-08,228.65,231.213,215.192,215.30,58267200,198.252
2014-12-01,231.10,232.941,222.277,230.60,76235900,212.34
2014-11-24,228.65,234.75,223.70,233.95,69777900,215.425
2014-11-17,224.60,231.65,223.80,227.80,97405800,209.762
2014-11-10,206.95,226.60,204.55,225.30,113739700,204.193
2014-11-03,206.50,210.30,203.15,206.95,65561000,187.562
